"Time", "controlBus.chassisBus.longitudinalVelocity|km/h", "controlBus.chassisBus.longitudinalAcceleration|m/s2", "controlBus.batteryBus_1.SOC"
"31.5", "-0.008530696", "-9.61E-16", "0.97"
"31.6", "-0.008530696", "-6.62E-16", "0.97"
"31.7", "-0.008530696", "5.10E-15", "0.97"
"31.8", "-0.008530696", "1.05E-15", "0.97"
"31.9", "-0.008530696", "-2.60E-15", "0.97"
"32", "-0.008530696", "-2.44E-15", "0.97"
"32.1", "-0.008530696", "6.61E-15", "0.97"
"32.2", "-0.008530696", "6.46E-15", "0.97"
"32.3", "-0.008530696", "1.64E-15", "0.97"
"32.4", "-0.008530696", "4.06E-15", "0.97"
"32.5", "-0.008530696", "4.22E-15", "0.97"
"32.6", "-0.008530696", "4.71E-15", "0.97"
"32.7", "-0.008530696", "7.09E-15", "0.97"
"32.8", "-0.008530696", "4.59E-15", "0.97"
"32.9", "-0.008530696", "6.15E-15", "0.97"
"33", "-0.008530696", "9.31E-15", "0.97"
"33.1", "-0.008530696", "7.76E-15", "0.97"
"33.2", "-0.008530696", "3.46E-15", "0.97"
"33.3", "-0.008530696", "5.03E-15", "0.97"
"33.4", "-0.008530696", "7.86E-15", "0.97"
"33.5", "-0.008530696", "6.09E-15", "0.97"
"33.6", "-0.008530696", "4.15E-15", "0.97"
"33.7", "-0.008530696", "8.97E-15", "0.97"
"33.8", "-0.008530696", "8.62E-15", "0.97"
"33.9", "-0.008530696", "6.50E-15", "0.97"
"34", "-0.008530696", "4.14E-16", "0.97"
"34.1", "-0.008530696", "2.21E-15", "0.97"
"34.2", "-0.008530696", "1.32E-15", "0.97"
"34.3", "-0.008530696", "-1.47E-15", "0.97"
"34.4", "-0.008530696", "-9.92E-16", "0.97"
"34.5", "-0.008530696", "3.03E-16", "0.97"
"34.6", "-0.008530696", "2.48E-15", "0.97"
"34.7", "-0.008530696", "2.26E-15", "0.97"
"34.8", "-0.008530696", "-1.11E-15", "0.97"
"34.9", "-0.008530696", "1.80E-15", "0.97"
"35", "-0.008530696", "3.09E-16", "0.97"
"35.1", "-0.008530696", "-7.49E-17", "0.97"
"35.2", "-0.008530696", "1.20E-15", "0.97"
"35.3", "-0.008530696", "1.02E-15", "0.97"
"35.4", "-0.008530696", "7.15E-16", "0.97"
"35.5", "-0.008530696", "2.18E-16", "0.97"
